726;Lycée polyvalent Louis Pasteur;15/09/2018;Non;03 21 08 86 00;ce.0620095s@ac-lille.fr;800 rue Léon Blum BP 19;62251;HENIN  BEAUMONT CEDEX;Oui;Oui
727;Lycée Lavoisier;15/09/2019;Non;03 21 64 64 00;ce.0620017g@ac-lille.fr;99 rue Jean Jaurès BP 49;62260;AUCHEL   ;Oui;Non
728;Lycée polyvalent Giraux Sannier;15/09/2020;Non;03 21 30 85 85;ce.0624109e@ac-lille.fr;Rue Giraux Sannier BP 946;62280;SAINT MARTIN BOULOGNES ;Oui;Non
729;Lycée polyvalent privé Saint-Joseph;15/09/2021;Non;03 21 99 06 99;ce.0622198c@ac-lille.fr;26 - 30 route de Calais;62280;SAINT MARTIN BOULOGNES ;Oui;Non
730;Lycée polyvalent d'Artois;15/09/2022;Non;03 21 61 63 21;ce.0624440p@ac-lille.fr;rue Jules Mousseron BP 35;62290;NOEUX LES MINES ;Oui;Non
731;Lycée Auguste Behal;15/09/2023;Non;03 21 14 21 14;ce.0620109g@ac-lille.fr;6 rue Paul Eluard;62300;LENS   ;Oui;Oui
732;Lycée polyvalent privé Saint-Paul;15/09/2024;Non;03 21 13 56 10;lycee.stpaul.lens@wanadoo.fr;38 route de la Bassée BP 17;62301;LENS CEDEX  ;Oui;Non
733;Lycée Condorcet;15/09/2025;Non;03 21 79 35 44;ce.0620108f@ac-lille.fr;25 rue Etienne Dolet BP 169;62303;LENS CEDEX  ;Oui;Non
734;Iut de Lens;29/09/2016;Non;03 21 79 32 53;info@iut-lens.univ-artois.fr ;Rue de l'Université;62307; LENS CEDEX ;Non;DUT
735;Lycée Mariette;15/09/2024;Non;03 21 10 66 66;ce.0622949u@ac-lille.fr;69 rue Beaurepaire BP 759;62321;BOULOGNE SUR MER ;Oui;Non
736;Lycée Polyvalent Edouard Branly;15/09/2025;Non;03 21 99 68 00;ce.0620052v@ac-lille.fr;2 rue de la Porte Gayole BP 779;62321;BOULOGNE SUR MER CEDEX;Oui;Oui
737;IUT du Littoral Côte d'Opale - Site de Boulogne;29/09/2016;Non;03 21 99 45 02; iutgb@univ-littoral.fr ;Bassin Napoléon BP 120;62327;BOULOGNE-SUR-MER CEDEX  ;Non;DUT
738;Lycée polyvalent privé Jean Bosco;15/09/2024;Non;03 21 35 22 64;ce.0622150a@ac-lille.fr;19 Place du Maréchal Foch BP 19;62340;GUINES   ;Non;Oui
739;Lycée privé Saint-Vaast-Saint-Dominique;15/09/2025;Non;03 21 64 79 70;ce.0622106c@ac-lille.fr;92 rue de l'université BP 47;62401;BÉTHUNE CEDEX  ;Oui;Non
740;IUT;29/09/2016;Non;03 21 63 23 00;chimie.iut-bethune@univ-artois.fr ;1230 rue de l'université BP 819 ;62408;BÉTHUNE CEDEX  ;Non;DUT
741;IUT;29/09/2016;Non;03 21 63 23 00;alain.delpierre@univ-artois.fr ;1230 rue de l'université BP 819 ;62408;BÉTHUNE CEDEX  ;Non;DUT
742;IUT;29/09/2016;Non;03 21 63 23 00;contact@iut-geii.univ-artois.fr ;1230 rue de l'université BP 819 ;62408;BÉTHUNE CEDEX  ;Non;DUT
743;IUT;29/09/2016;Non;03 21 63 23 00;roger.debuchy@univ-artois.fr ;1230 rue de l'université BP 819 ;62408;BÉTHUNE CEDEX  ;Non;DUT
744;IUT;29/09/2016;Non;03 21 63 23 15;annabelle.joulin@univ-artois.fr ;1230 rue de l'université BP 819 ;62408;BÉTHUNE CEDEX  ;Non;DUT
745;Lycée André Malraux;15/09/2024;Non;03 21 64 61 61;ce.0620042j@ac-lille.fr;314 rue Jules Massenet BP 817;62408;BÉTHUNE CEDEX  ;Oui;Non
746;Lycée Louis Blaringhem;15/09/2025;Non;03 21 64 48 60;ce.0620040g@ac-lille.fr;Boulevard Victor Hugo BP 812;62408;BÉTHUNE CEDEX  ;Oui;Non
747;Lycée Voltaire;15/09/2026;Non;03 21 77 34 34;ce.0623915u@ac-lille.fr;9 Place Bertin Ledoux;62410;WINGLE   ;Oui;Non
748;Institut agricole Saint Eloi;15/09/2027;Non;03 21 07 14 20;bapaume@cneap.fr;36 rue Marcellin Gaudefroy BP 20019;62450;BAPAUME CEDEX  ;Oui;Non
749;Lycée privé Notre-Dame de Sion;15/09/2028;Non;;ce.0622120t@ac-lille.fr;52 rue Courteville BP 500010;62501;SAINT OMER CEDEX ;Oui;Non
750;Lycée polyvalent privé Saint-Denis;15/09/2029;Non;03 21 12 24 00;ce.0622199d@ac-lille.fr;8 place Saint-Jean BP 50009;62504;SAINT OMER CEDEX ;Oui;Non
751;Lycée Alexandre Ribot;15/09/2030;Non;03 21 88 30 60;lycee@alexandre-ribot.fr;42 rue Gambetta BP 70340;62505;SAINT OMER CEDEX ;Oui;Non
752;Lycée Jan Lavezzari;15/09/2031;Non;03 21 09 20 18;ce.0622276m@ac-lille.fr;15 Avenue du Phare BP 69;62602; BERCK CEDEX  ;Oui;Non
753;Lycée polyvalent Carnot;15/09/2032;Non;03 21 64 65 00;ce.0620056z@ac-lille.fr;1 rue Sadi Carnot BP 50;62701;BRUAY LA BUISSIERE CEDEX;Oui;Non
754;Lycée Henri Darras;15/09/2033;Non;03 21 72 65 65;ce.0620113l@ac-lille.fr;Chemin des Manufactures BP 134;62803;LIEVIN CEDEX  ;Oui;Oui
755;Lycée Blaise Pascal cité scolaire;15/09/2034;Non;03 21 98 28 66;ce.0622803k@ac-lille.fr;Rue Roger Salengro BP 70049;62967;LONGUENESSE CEDEX  ;Oui;Oui
756;Iut du Littoral Côte d'Opale  - Site de Saint-Omer- ;29/09/2016;Non;03 21 38 87 20;iutgim@univ-littoral.fr ;Centre Descartes Avenue René Descartes BP 40099;62968;LONGUENESSE CEDEX  ;Non;DUT GIM
757;Lycée privé La Malassise;15/09/2025;Non;03 21 38 03 77;ce.0622116n@ac-lille.fr;Pensionnat Saint Joseph BP 30089;62968;LONGUENESSE CEDEX  ;Oui;Non
758;IUT;;Non;05 55 20 59 70;;5 rue du 9 juin 1944;19000;TULLE   ;Non;DUT GIM
759;IUT;;Non;;;7  rue Jules Vallès;19100;BRIVE LA GAILLARDE ;Non;DUT GEII
760;IUT DU LIMOUSIN;;Non;05.55.93.45.00;;Département Génie Civil;19300;EGLETONS   ;Non;DUT GC
761;IUT;;Non;05 55 43 43 55;;Allée André Maurois;87065;LIMOGES CEDEX  ;Non;DUT GMP
762;IUT;;Non;;;Allée André Maurois;87065;LIMOGES CEDEX  ;Non;DUT MP
763;IUT;;Non;;;Allée André Maurois;87065;LIMOGES CEDEX  ;Non;DUT INFO
764;IUT;;Non;;;Allée André Maurois;87065;LIMOGES CEDEX  ;Non;DUT BIO
765;IUT;;Non;;;; ;   ;Non;DUT QLIO
766;IUT;20/11/2007;Non;;;71 Rue Peter Fink;1000;BOURG EN BRESSE ;Non;DUT GTE
767;IUT;20/11/2007;Non;04 74 45 50 50;;71 Rue Peter Fink;1000;BOURG EN BRESSE ;Non;DUT INFO
768;Lycée Joseph Marie Carriat;20-nov.-07;Non;04 74 32 18 48;ce.0010016M@ac-lyon.fr;1 rue de Crouÿ;1000;BOURG EN BRESSE CDX;Oui;Oui
769;Lycée SAINT PIERRE;20-nov.-07;Non;04 74 32 10 90 ;lyc.st.pierre.bourg@wanadoo.fr;7 Rue Villeneuve - BP 12;1001;BOURG EN BRESSE ;Non;Non
770;Lycée EDGAR QUINET;19-nov.-07;Non;04 74 21 24 65;ce.0010014k@ac-lyon.fr;5 Avenue Jean-Marie Verne;1011;BOURG EN BRESSE CDX;Non;Non
771;Lycée LALANDE;20-nov.-07;Non;04 74 23 63 55;ce.0010013J@ac-lyon.fr;16 rue du Lycée;1011;BOURG EN BRESSE CDX;Non;Non
772;IUT;20/11/2007;Non;04 74 45 52 52 ;;Site Alimentec Rue Henri de Boissieu;1060;BOURG EN BRESSE ;Non;DUT BIO
773;Lycée Arbez Carme;15-nov.-07;Non;04 74 81 97 97;ce.0011119L@ac-lyon.fr;1 Rue P. et M. Curie;1100;BELLIGNAT OYONNAX  ;Oui;Oui
774;Lycée PAUL PAINLEVÉ;29-nov.-06;Non;04 74 81 21 00;0010034g@ac-lyon.fr;13 Place des Déportés;1108;OYONNAX CEDEX  ;Non;Non
775;Lycée de la COTIERE;6-déc.-06;Non;04 72 25 30 00;ce.0011326L@ac-lyon.fr;270 Chemin du Grand Casset;1120;LA BOISSE  ;Oui;Non
776;Lycée Xavier Bichat;28/07/03;Non;04 74 75 99 50;ce.0010032E@ac-lyon.fr;Avenue du Lac;1130;NANTUA   ;Oui;Non
777;CFP Jeanne d'Arc;6-mars-14;Non;04 50 28 36 00;;95 rue du Lycée;1170;CESSY   ;Non;Non
778;LYCEE SAINT EXUPERY;15-nov.-07;Non;04 50.56 61 40;0010006b@ac-lyon.fr;15 Av. St Exupéry;1200;BELLEGARDE   ;Non;Non
779;LYCEE INTERNATIONAL;15-nov.-07;Non;04 50 40 00 00;0010072y@ac-lyon.fr;Avenue des sports;1210;FERNEY-VOLTAIRE   ;Oui;Non
780;Lycée du Bugey;;Non;04 79 81 02 18;ce.0010010F@ac-lyon.fr;Rue du 5e R.T.M. BP 157;1306;BELLEY CEDEX  ;Oui;Non
781;Lycée de la  PLAINE DE L'AIN;15-nov.-07;Non;04 74 38 17 24;001119ht@ac-lyon.fr;Rue Léon Blum;1500;AMBERIEU EN BUGEY ;Oui;Oui
782;Lycée agricole Edouard Herriot;;Non;04 74 08 88 22;epl.cibeins@educagri.fr;Domaine de Cibeins;1600;MISEREUX   ;Oui;Non
783;Lycée VAL DE SAONE;22-oct.-15;Non;04 74 00 52 00 ;ce.0011276G@ac-lyon.fr;220 Chemin d'Arras BP 617;1606;TREVOUX CEDEX  ;S - STI2D;ELEC
784;Lycée LE MARAIS;;Non;04 77 92 86 50;ltp.lemarais@wanadoo.fr;48 Boulevard Thiers;42000;SAINT ETIENNE  ;Non;Non
785;Lycée SAINT MICHEL;22-oct.-15;Non;04 77 49 44 60;secretariatdirection@saintmichel-educ.fr;4 Rue Jules Vallès;42000;SAINT ETIENNE  ;S;Non
786;Lycée SAINTE BARBE;11-déc.-06;Non;04 77 43 54 30;contact@sainte-barbe.com;10 Rue Franklin;42000;SAINT ETIENNE  ;Oui;Oui
787;Lycée HONORÉ D'URFÉ;;Non;04 77 57 38 58;ce.0420042T@ac-lyon.fr;1 impasse Le Chatelier ;42000;ST ETIENNE  ;Oui;Oui
788;Lycée JEAN MONNET;;Non;04 77 46 36 00;ce.0420043U@ac-lyon.fr;16 rue du Portail Rouge BP 269;42000;ST ETIENNE  ;Oui;Non
789;Lycée SÉVIGNÉ;;Non;04 77 32 68 95;secretariat-sevigne@scolanet.org;29 rue Michelet;42000;ST ETIENNE  ;Non;Non
790;Lycée Benoît Fourneyron;;Non;04 77 46 30 50;ce.0420937R@ac-lyon.fr;24 rue Virgile;42000;ST ETIENNE CEDEX 2;Oui;Oui
791;Lycée CLAUDE FAURIEL;20-oct.-15;Non;04 77 43 12 00;ce.0420041S@ac-lyon.fr;28 avenue de la Libération BP 506;42007;ST ETIENNE CEDEX ;S;CPGE  MP – PC
792;Lycée Etienne Mimard;20-oct.-15;Non;04 77 49 59 20;ce.0420046x@ac-lyon.fr;32 Rue E. Mimard;42021;ST ETIENNE CEDEX ;S - STI2D;CPI - ELEC – MS CPGE PSI - PT - TSI  
793;IUT;;Non;04 77 46 33 00;iut@univ-st-etienne.fr;28 avenue Léon Jouhaux ;42023;SAINT ETIENNE CEDEX 2;Non;DUT GMP
794;IUT;;Non;;;28 avenue Léon Jouhaux ;42023;SAINT ETIENNE CEDEX 2;Non;DUT MP
795;IUT;;Non;;;28 avenue Léon Jouhaux ;42023;SAINT ETIENNE CEDEX 2;Non;DUT BIO
796;IUT;;Non;;;28 avenue Léon Jouhaux ;42023;SAINT ETIENNE CEDEX 2;Non;DUT GEII
797;Lycée D'ALEMBERT;;Non;04 77 81 83 60;0420047y@ac-lyon.fr;20 Rue de la Jomayère;42023;ST ETIENNE CEDEX ;Non;Non
798;Lycée Saint-Louis - Sainte-Barbe (enseignement supérieur);26-sept.-14;Non;04 77 43 54 30;contact@stlouis-stebarbe.fr;10 rue Franklin;42028;42028 Saint-Etienne Cedex 1;Non;Non
799;Lycée Saint-Louis - Sainte-Barbe;26-sept.-14;Non;04 77 43 24 80;contact@stlouis-stebarbe.fr;22 Rue Désiré Claude;42030;SAINT ETIENNE CEDEX 2;Non;Non
800;Lycée Benoît Fourneyron;;Non;04 77 46 30 50;ce.0420937R@ac-lyon.fr;24 Rue Virgile;42100;ST ETIENNE  ;Oui;Oui
801;Lycée DU FOREZ;;Non;04 77 26 37 89;0421788r@ac-lyon.fr;Route de Civens;42110;FEURS   ;Non;Non
802;Lycée agricole de Roanne-Chervé;;Non;04 77 44 82 00;epl.roanne@educagri.fr;Perreux;42120;LE COTEAU CEDEX ;Oui;Non
803;Lycée POLYVALENT F. MAURIAC;25/07/03;Non;04 77 36 38 10;042169lk@ac-lyon.fr;32-34  rue des Bullieux;42160;ANDREZIEUX   ;Non;Non
804;Lycée Hippolyte Carnot;;Non;04 77.72.15.76;0420034j@ac-lyon.fr;35 Av Carnot;42300;ROANNE   ;Oui;Oui
805;Lycée SAINT PAUL;;Non;04 77 71 22 87;st-paul-roanne@wanadoo.fr;15 rue Bourgneuf;42300;ROANNE   ;Oui;Non
806;Lycée Albert Thomas;06/04/04;Non;04 77 23 64 20;ce.0420033H@ac-lyon.fr;20 rue Albert Thomas;42328;ROANNE Cedex  ;Oui;Non
807;IUT;;Non;04 77 44 89 00;Vladimir.Serdeczny@univ-st-etienne.fr;20 avenue de Paris;42334;ROANNE CEDEX  ;Non;DUT OGP
808;IUT;;Non;;;20 avenue de Paris;42334;ROANNE CEDEX  ;Non;DUT GIM
809;Lycée Jean PUY;;Non;04 77 74 24 60;ce.0420031F@ac-lyon.fr;Rue Jean Puy;42335;ROANNE CEDEX  ;Oui;Non
810;LYCEE LE BOIS;06/04/04;Non;04 77 22 06 37;0420040r@ac-lyon.fr ;8 Bd Alamagny;42400;ST CHAMOND  ;Oui;Oui
811;Lycée STE MARIE FENELON;;Non;04 77 22 01 56;;15 Route du Coion;42401;SAINT CHAMOND  ;Non;Non
812;Lycée de Beauregard;;Non;04 77 96 71 71;ce.0420018S@ac-lyon.fr;4 Avenue P. Cézanne BP 159;42600;MONTBRISON   ;Oui;Oui
813;Lycée agricole de Montbrison Précieux;;Non;04 77 97 72 00;epl.montbrison@educagri.fr;;42600;MONTBRISON CEDEX  ;Oui;Non
814;Lycée  Saint Paul Forez ;;Non;04 77 58 01 15;saintpaul@saintaubrin.fr;13 rue du Collège BP 144;42603;MONTBRISON CEDEX  ;Oui;Non
815;Lycée Jacob Holtzer;;Non;04 77 10 17 30 ;ce.0420014M@ac-lyon.fr;5 rue Michelet;42700;FIRMINY   ;Oui;Oui
816;Lycée Albert Camus;;Non;04 77 40 17 17;ce.0420013L@ac-lyon.fr;32 bis rue de la Loire BP 180;42704;FIRMINY CEDEX  ;Oui;Non
817;Lycée G. BRASSENS;;Non;04 77.75.00.26;0420027b@ac-lyon.fr;Le Haut Mouillon;42800;RIVE DE GIER ;Non;Non
818;Lycée Assomption Bellevue - Pôle enseignement supérieur;;Non;04 72 66 30 80;contact@assomption-bellevue.org;172, avenue Jean Jaurès;69000;LYON   ;STI2D;DOMO  CPGE  BCPST - PCSI – PC
819;Lycée La Martinière Diderot - site Diderot;11-oct.-12;Non;04 72 10 16 16;ce.0690037R@ac-lyon.fr;41 cours Général Giraud;69000;LYON   ;Oui;Oui
820;Lycée La Martinière Monplaisir;;Non;04 78 78 31 00;ce.0692866r@ac-lyon.fr;41 rue Antoine Lumière;69000;LYON   ;S - STI2D;B - EEC - FEE - GT – TP  CPGE  BCPSTI - MPSI - PTSI - 
821;Lycée EDOUARD HERRIOT;19-nov.-07;Non;04 72 83 09 60;ce.0690027E@ac-lyon.fr;6 Place Edgar Quinet  06e arr Cedex 06;;   ;;
822;Lycée Edouard Branly ;21-avr.-10;Non;04 72 16 70 00 ;0693446w@ac-lyon.fr;25 rue Tourvielle;69000;LYON  05e arr;Oui;Oui
823;Lycée La Mache;19-nov.-07;Non;04 72 78 55 55;lycee@ecolelamache.org;75 Boulevard Jean XXIII 08e arr Cedex 08;;   ;;
824;Lycée La Martinière Diderot - site Terreaux;6-nov.-14;Non;04 78 28 06 81;ce.0690037R@ac-lyon.fr;18 place Gabriel Rambaud;69000;LYON CEDEX 1 ;Oui;Oui
825;Lycée Juliette Récamier;12-déc.-06;Non;04 72 41 65 30;lyc-juliette-recamier-lyon@wanadoo.fr;57 rue de la Charité 02e arr Cedex 02;;   ;;
826;Lycée Jean Perrin;13-déc.-06;Non;04 72 53 23 00;ce.0690082P@ac-lyon.fr;48 rue Pierre Baizet CP 415;69000;LYON CEDEX 9 ;Oui;CPGE 
827;Lycée CH. DE FOUCAULD;6-déc.-06;Non;04 37 91 25 10;lyc-charles-de-foucauld-lyon@ac-lyon.fr;6 rue Bara;69003;LYON   ;Non;Non
828;Lycée Lacassagne;;Non;04 72 91 89 00;ce.0690029G@ac-lyon.fr;93 rue Antoine Charial;69003;LYON CEDEX 3 ;Oui;Non
829;Lycée JEAN MOULIN;12-déc.-06;Non;04 78 15 01 40;0690030h@ac-lyon.fr;1 Place des Mimes;69005;LYON CEDEX 5 ;Non;Non
830;Lycée ORT;;Non;04 72 78 09 09;lyon@ort.asso.fr;133 Rue Marius Berlet;69008;LYON   ;Oui;Oui
831;Lycée Auguste et Louis Lumière;;Non;04 78 78 31 78 ;ce.0690035N@ac-lyon.fr;50 Boulevard des Etats Unis;69008;LYON CEDEX  ;Oui;Non
832;IUT;;Non;04 72 69 20 00;;Campus de la Doua 43  Bd du 11 novembre 1918;69100;VILLEURBANNE   ;Non;DUT
833;IUT;;Oui;;;Campus de la Doua 43  Bd du 11 novembre 1918;69100;VILLEURBANNE   ;Non;Non
834;IUT;;Non;;;Campus de la Doua 43  Bd du 11 novembre 1918;69100;VILLEURBANNE   ;Non;DUT
835;IUT;;Non;;;Campus de la Doua 43  Bd du 11 novembre 1918;69100;VILLEURBANNE   ;Non;DUT
836;IUT;;Non;;;Campus de la Doua 43 Bd du 11 novembre 1918;69100;VILLEURBANNE   ;Non;DUT
837;Lycée POLYVALENT FAYS;20-oct.-15;Non;04 72 91 39 50;ce.0690103M@ac-lyon.fr;46 rue Frédéric Faÿs;69100;VILLEURBANNE   ;Oui;Oui
838;Lycée ALBERT CAMUS;21/11/02;Non;04 72 01 88 20  ;0692517l@ac-lyon.fr;Avenue des Nations;69140;RILLIEUX   ;Oui;Oui
839;Lycée Chaplin-Becquerel;23-sept.-14;Non;04 72 05 63 90;0692800u@ac-lyon.fr;13 rue Francisco Ferrer;69150;DECINES CHARPIEU CDX ;Oui;Oui
840;Lycée Charlie Chaplin;14-oct.-15;Non;04 72 05 63 90;ce.0692800U@ac-lyon.fr;373 avenue Jean Jaurès;69153;DECINES CHARPIEU  ;Oui;Oui
841;Lycée SAINT JOSEPH;22-oct.-15;Non;04 78 34 07 51;secretariat@stjosephtassin.org;7 Rue Lieutenant Audras;69160;TASSIN LA DEMI LUNE;Oui;Non
842;Lycée René Cassin;;Non;04 74 05 00 74;ce.0690085T@ac-lyon.fr;75 Route de St Clément BP 137;69173;TARARE CEDEX  ;Oui;Non
843;Lycée Marcel Sembat;21-avr.-10;Non;04 78.78.50.00;ce.0690104n@ac-lyon.fr;20 Bd Sembat;69200;VENISSIEUX   ;Oui;Oui
844;Lycée Germaine Tillion;6-mars-14;Non;04 37 50 17 70;0694069Y@ac-lyon.fr;500 allée de Grands Champs;69210;SAINT BEL  ;Oui;Non
845;Lycée agricole et agroalimentaire;;Non;04 78 56 75 75;epl.st-genis@educagri.fr;234 route de Charly;69230;SAINT GENIS LAVAL ;Oui;Non
846;Lycée DESCARTES;13-déc.-06;Non;04 78 56 75 80 ;ce.0693654X@ac-lyon.fr;avenue de Gadagne;69230;SAINT GENIS LAVAL ;Oui;Oui
847;Lycée Notre-Dame de Bellegarde;14-oct.-15;Non;04 78 91 32 69;secretariat@ndbellegarde.fr;22 avenue Gambetta;69250;NEUVILLE SUR SAONE ;Oui;Non
848;Lycée Privé JB de la Salle;22-oct.-15;Non;04 72 10 10 30;neyret@lasalle-69.com;1 Rue Neyret;69283;LYON   ;Oui;Oui
849;Lycée Saint-Louis - Saint-Bruno;14-oct.-15;Non;04 72 98 23 30;lycee@slsb.fr;16 rue des Chartreux;69283;LYON - 01er arr;Oui;Non
850;Lycée des Chartreux;20-oct.-15;Non;04 72 00 75 50;infocontact@leschartreux.net;58 Rue Pierre Dupont;69283;LYON CEDEX 1 ;Oui;Non
851;Lycée La Martinière Diderot - site Diderot;23-oct.-15;Non;04 37 40 87 37;ce.0690037R@ac-lyon.fr;41 cours Général Giraud;69283;LYON CEDEX 01er arr;Oui;Oui
852;Lycée La Martinière Diderot - site Terreaux;21/10/2016;Oui;04 37 40 87 37;ce.0690037R@ac-lyon.fr;18 place Gabriel Rambaud;69283;LYON CEDEX 01er arr;Oui;Oui
853;Lycée SAINT MARC;31-oct.-13;Non;04 78 38 06 06;lycee@centresaintmarc.org;10 Rue Saint Hélène;69287;LYON   ;Oui;Non
854;Lycée Ampère;23-sept.-14;Non;04 72 10 12 12;ce.0690023A@ac-lyon.fr;31 rue de la Bourse;69289;LYON CEDEX 2 ;Oui;Non
855;Lycée général et technologique Antoine de Saint-Exupéry;20-oct.-15;Non;04 72 10 91 91;ce.0690031J@ac-lyon.fr;82 rue Henon;69316;LYON CEDEX 4 ;Oui;Non
856;L. Privé AUX LAZARISTES;29-oct.-15;Non;04 72 77 13 90;a.danguin@auxlazaristes.fr;24 Montée St Barthélémy;69321;LYON 5E  ;Oui;CPGE 
857;Lycée de Saint-Just;19-nov.-07;Non;04 37 41 30 30;ce.0690028F@ac-lyon.fr;21 Rue des Farges;69321;LYON CEDEX 5 ;S;Non
858;Lycée général et technologique privé - Externat Sainte-Marie;20-oct.-15;Non;04 78 28 38 34;secretariatdirection@sainte-marie-lyon.fr;4 Montée St Barthélémy;69321;LYON CEDEX 5 ;Oui;Non
859;Lycée LA MARTINIERE-DUCHERE;14-avr.-11;Non;04 72 17 29 50;ce.0690038s@ac-lyon.fr;300 Avenue A. Sakharov - BP 417;69338;LYON CEDEX 9 ;Oui;Oui
860;Lycée Assomption Bellevue;;Non;04 72 66 30 97;contact@assomption-bellevue.org;39 Quai Jean Jacques Rousseau;69350;LA MULATIERE  ;S;Non
861;Lycée de GERLAND;19-nov.-07;Non;04 78 69 60 06;;22 Avenue Tony-Garnier;69361;LYON 7  ;Non;Non
862;Lycée COLBERT;;Non;04 78 00 85 59;06900h2w@ac-lyon.fr;20 rue Louis Jouvet;69372;LYON CEDEX 8 ;Non;Non
863;Lycée LA MARTINIERE-MONTPLAISIR;19-nov.-07;Non;04 78 78 31 00;ce.0692866r@ac-lyon.fr;41 rue A. Lumière;69372;LYON CEDEX 8 ;Non;Non
864;Lycée Louis Armand;14-oct.-15;Non;04 74 02 30 00;ce.0691644M@ac-lyon.fr;507 avenue du Beaujolais;69400;VILLEFRANCHE   ;Oui;Oui
865;Lycée MONGRÉ;;Non;04 74 65 24 13;assomption@mongre.org;276 Avenue Saint Exupéry;69400;VILLEFRANCHE   ;Non;Non
866;Lycée Claude Bernard;21-avr.-10;Non;04 74 02 72 72;ce.0690097F@ac-lyon.fr;234 rue Ph Héron BP 475;69400;VILLEFRANCHE SUR SAONE ;Oui;Non
867;Lycée Saint-Thomas d'Aquin Veritas;13-juin-14;Non;04 78 44 00 52;secretariat.general@st-thom.com;Rue Louis Guillaumond;69440;MORNANT   ;S;Non
868;Lycée LE PARC;15-nov.-07;Non;04 78 89 09 92;0690026d@ac-lyon.fr;1 Boulevard Anatole France;69458;LYON CEDEX 6 ;Non;Non
869;Lycée JEAN PAUL SARTRE;;Non;04 72 14 60 60;0693044j@ac-lyon.fr;135 Avenue S. Allende;69500;BRON   ;Non;Non
870;Lycée d'agrotechnologie de Sandar;14-oct.-15;Non;04 78 35 11 30;limonest@cneap.fr;392 chemin de la Sablière;69579;LIMONEST CEDEX  ;S;TC
871;Lycée CHAMPAGNAT;29-oct.-15;Non;04 78 48 43 07;accueil@champagnat-stsymphorien.eu;250 rue Chanoine Pavailler ;69590;ST SYMPHORIEN/COIS  ;S - STI2D;Non
872;Lycée Parc Chabrières;15-avr.-10;Non;04 72 39 56 56;lyc-parc-chabrieres-oullins@ac-lyon.fr;9 Chemin des Chassagnes;69600;OULLINS   ; S - STI;MI
873;Lycée Saint-Thomas d'Aquin Veritas;20-oct.-15;Non;04 72 66 33 66;secretariat.general@st-thom.com;56 rue du Perron;69600;OULLINS   ;S;Non
874;IUT B;21/11/2007;Non;04 72 65 53 53;;17 rue de France;69627;VILLEURBANNE CEDEX  ;Non;DUT GIM
875;IUT B;21/11/2007;Non;;;17 rue de France;69627;VILLEURBANNE CEDEX  ;Non;DUT GMP
876;IUT B;21/11/2007;Non;;;17 rue de France;69627;VILLEURBANNE CEDEX  ;Non;DUT GEII
877;Lycée PIERRE BROSSOLETTE;12-déc.-06;Non;04 78 84 26 49;0690132u@ac-lyon.fr;161 Cours Emile Zola;69628;VILLEURBANNE CEDEX  ;Non;Non
878;IUT;;Non;04 78 77 23 01;iutogp@univ-lyon2.fr;168 Boulevard de l'université;69676;BRON CEDEX  ;Non;DUT OGP
879;Lycée JACQUES BREL;;Non;04 72 50 30 60;0692717d@ac-lyon.fr;7 Avenue d'Oschatz;69694;VÉNISSIEUX CEDEX  ;Non;Non
880;Lycée Louis ARAGON;23-sept.-14;Non;04 72 49 21 10;ce.069330v@ac-lyon.fr;12 Chemin de la Côte A Cailloux;69700;GIVORS   ;S- STI2D;CIM
881;Lycée Blaise Pascal;;Non;04 72 38 15 70  ;ce.0693518Z@ac-lyon.fr;2 Avenue Bergeron - BP 48;69751;CHARBONNIERES LES BAINS ;S;HPE
882;Lycée Aiguerande;14-oct.-15;Non;04 74 66 16 32;ce.0693734J@ac-lyon.fr;2 place Georges Dutrève;69823;BELLEVILLE   ;Non;Non
883;Lycée ST THOMAS D'AQUIN;21-avr.-10;Non;04 72 66 33 66 ;saint-thomas@wanadoo.fr;56 Rue du Perron - BP 104;69923;OULLINS CEDEX  ;Non;Non
884;Lycée Diderot;11-oct.-12;Non;04 68 32 84 00;0110023r@ac-montpellier.fr;;11100;NARBONNE   ;Oui;Oui
885;Lycée des métiers privé de la Salle;26-sept.-14;Non;04 66 56 24 25;lyceedelasalle@wanadoo.fr;17 place Henri Barbusse;30100;ALES   ;Oui;Oui
886;Lycée professionnel Sainte-Marie;21/10/2016;Oui;04 66 39 58 39;ce.0300106C@ac-montpellier.fr;Impasse des Récollets BP 91029;30200;BAGNOLS-SUR-CÈZE CEDEX  ;Non;Oui
887;Lycée polyvalent Albert Einstein;11-oct.-12;Non;04 66 90 42 00;ce.0300950v@ac-montpellier.fr;avenue Vigan Braquet;30200;BAGNOLS-SUR-CÈZE CEDEX  ;Oui;Oui
888;IUT;;Non;04 66 62 85 00 ;dir-iut.nimes@univ-montp2.fr;8 Rue Jules Raimu;30900;NIMES   ;Non;DUT GMP
889;IUT;;Non;;;8 Rue Jules Raimu;30900;NIMES   ;Non;DUT SGM
890;IUT;;Non;;;8 Rue Jules Raimu;30900;NIMES   ;Non;DUT GEII
891;IUT;;Non;;;8 Rue Jules Raimu;30900;NIMES   ;Non;DUT GC
892;IUT;;Non;04 67 51 71 00;;Rue de la  Poule d'Eau;34200;SETE   ;Non;DUT CHIMIE
893;IUT;;Non;04 99 58 50 40;dir-iutmontp@univ-montp2.fr;99 Avenue d'Occitanie;34296;MONTPELLIER CEDEX 5 ;Non;DUT MP
